"","X","Survived","Pclass","Sex","Age","SibSp","Parch","Ticket","Fare","Embarked","Title"
"1",0,0,3,1,22,1,0,523,7.25,2,2
"2",1,1,1,0,38,1,0,596,71.2833,0,3
"3",2,1,3,0,26,0,0,669,7.925,2,1
"4",3,1,1,0,35,1,0,49,53.1,2,3
"5",4,0,3,1,35,0,0,472,8.05,2,2
"6",5,0,3,1,19,0,0,275,8.4583,1,2
"7",6,0,1,1,54,0,0,85,51.8625,2,2
"8",7,0,3,1,2,3,1,395,21.075,2,0
"9",8,1,3,0,27,0,2,344,11.1333,2,3
"10",9,1,2,0,14,1,0,132,30.0708,0,3
"11",10,1,3,0,4,1,1,616,16.7,2,1
"12",11,1,1,0,58,0,0,38,26.55,2,1
"13",12,0,3,1,20,0,0,535,8.05,2,2
"14",13,0,3,1,39,1,5,333,31.275,2,2
"15",14,0,3,0,14,0,0,413,7.8542,2,1
"16",15,1,2,0,55,0,0,153,16,2,3
"17",16,0,3,1,2,4,1,480,29.125,1,0
"18",17,1,2,1,25,0,0,151,13,2,2
"19",18,0,3,0,31,1,0,301,18,2,3
"20",19,1,3,0,25,0,0,184,7.225,0,3
"21",20,0,2,1,35,0,0,139,26,2,2
"22",21,1,2,1,34,0,0,152,13,2,2
"23",22,1,3,0,15,0,0,278,8.0292,1,1
"24",23,1,1,1,28,0,0,42,35.5,2,2
"25",24,0,3,0,8,3,1,395,21.075,2,1
"26",25,1,3,0,38,1,5,329,31.3875,2,3
"27",26,0,3,1,24,0,0,179,7.225,0,2
"28",27,0,1,1,19,3,2,95,263,2,2
"29",28,1,3,0,41,0,0,283,7.8792,1,1
"30",29,0,3,1,54,0,0,362,7.8958,2,2
"31",30,0,1,1,40,0,0,598,27.7208,0,5
"32",31,1,1,0,15,1,0,586,146.5208,0,3
"33",32,1,3,0,52,0,0,288,7.75,1,1
"34",33,0,2,1,66,0,0,549,10.5,2,2
"35",34,0,1,1,28,1,0,600,82.1708,0,2
"36",35,0,1,1,42,1,0,43,52,2,2
"37",36,1,3,1,22,0,0,202,7.2292,0,2
"38",37,0,3,1,21,0,0,514,8.05,2,2
"39",38,0,3,0,18,2,0,302,18,2,1
"40",39,1,3,0,14,1,0,186,11.2417,0,1
"41",40,0,3,0,40,1,0,507,9.475,2,3
"42",41,0,2,0,27,1,0,53,21,2,3
"43",42,0,3,1,45,0,0,391,7.8958,0,2
"44",43,1,2,0,3,1,2,634,41.5792,0,1
"45",44,1,3,0,19,0,0,282,7.8792,1,1
"46",45,0,3,1,24,0,0,617,8.05,2,2
"47",46,0,3,1,40,1,0,462,15.5,1,2
"48",47,1,3,0,30,0,0,76,7.75,1,1
"49",48,0,3,1,24,2,0,190,21.6792,0,2
"50",49,0,3,0,18,1,0,377,17.8,2,3
"51",50,0,3,1,7,4,1,249,39.6875,2,0
"52",51,0,3,1,21,0,0,522,7.8,2,2
"53",52,1,1,0,49,1,0,587,76.7292,0,3
"54",53,1,2,0,29,1,0,239,26,2,3
"55",54,0,1,1,65,0,1,29,61.9792,0,2
"56",55,1,1,1,32,0,0,94,35.5,2,2
"57",56,1,2,0,21,0,0,555,10.5,2,1
"58",57,0,3,1,28.5,0,0,215,7.2292,0,2
"59",58,1,2,0,5,1,2,561,27.75,2,1
"60",59,0,3,1,11,5,2,566,46.9,2,0
"61",60,0,3,1,22,0,0,197,7.2292,0,2
"62",61,1,1,0,38,0,0,32,80,2,1
"63",62,0,1,1,45,1,0,457,83.475,2,2
"64",63,0,3,1,4,3,2,337,27.9,2,0
"65",64,0,1,1,33,0,0,601,27.7208,0,2
